Var1,Var2,obs,exp,n,pmr
I64,R91,2,1.15,75,1.7391304347826089
E785,I442,2,1.1500000000000001,63,1.7391304347826084
I255,I269,2,1.1500000000000001,83,1.7391304347826084
I48,K859,2,1.1500000000000001,74,1.7391304347826084
I269,N189,7,4.03,277,1.7369727047146402
I251,R33,3,1.73,87,1.7341040462427746
M199,R53,10,5.79,327,1.7271157167530224
C509,J449,14,8.11,575,1.7262638717632555
E112,G934,2,1.16,88,1.7241379310344829
E86,G20,3,1.74,107,1.7241379310344829
I119,I517,2,1.16,100,1.7241379310344829
I219,J90,2,1.16,76,1.7241379310344829
I251,R522,4,2.32,166,1.7241379310344829
J960,Y442,2,1.16,83,1.7241379310344829
R628,Y86,2,1.16,67,1.7241379310344829
C159,J449,2,1.1600000000000001,81,1.7241379310344827
E142,I10,83,48.4,3439,1.7148760330578512
I10,K746,27,15.75,1307,1.7142857142857142
I219,I639,2,1.17,85,1.7094017094017095
I959,R54,2,1.17,62,1.7094017094017095
K922,M199,2,1.17,68,1.7094017094017095
R64,W80,2,1.17,68,1.7094017094017095
E149,I679,12,7.0200000000000005,459,1.7094017094017093
A419,L089,5,2.93,190,1.706484641638225
F03,R628,164,96.16,5548,1.7054908485856906
C509,R53,3,1.76,105,1.7045454545454546
C911,I251,6,3.52,211,1.7045454545454546
C509,N390,4,2.35,154,1.702127659574468
I10,I517,14,8.25,561,1.696969696969697
C509,F019,2,1.18,68,1.6949152542372883
M819,R688,4,2.36,131,1.6949152542372883
C509,I694,3,1.77,114,1.694915254237288
C509,R54,3,1.77,94,1.694915254237288
C679,E149,6,3.54,230,1.694915254237288
I48,J449,331,195.75,12842,1.6909323116219668
I10,I359,16,9.47,594,1.689545934530095
G629,I251,5,2.96,178,1.6891891891891893
I251,T828,4,2.37,166,1.6877637130801686
D469,I48,9,5.34,323,1.6853932584269664
G309,L899,3,1.78,105,1.6853932584269662
I639,J690,5,2.97,197,1.6835016835016834
E149,J448,2,1.19,91,1.680672268907563
G301,R688,2,1.19,64,1.680672268907563
I214,I269,2,1.19,93,1.680672268907563
I251,K769,2,1.19,91,1.680672268907563
M480,R53,2,1.19,68,1.680672268907563
E86,R54,7,4.17,219,1.6786570743405276
F03,R636,5,2.98,160,1.6778523489932886
C900,I10,6,3.58,258,1.675977653631285
E780,M199,3,1.79,107,1.675977653631285
I739,J439,3,1.79,130,1.675977653631285
C679,I64,4,2.39,146,1.6736401673640167
I959,J690,4,2.39,157,1.6736401673640167
I251,I694,35,20.93,1351,1.6722408026755853
E142,I255,7,4.19,302,1.6706443914081144
I272,I38,7,4.19,256,1.6706443914081144
F03,R001,6,3.6,194,1.6666666666666665
I472,J189,3,1.8,123,1.6666666666666665
G629,I48,7,4.21,248,1.66270783847981
I519,R54,4,2.41,132,1.6597510373443982
A419,J958,3,1.81,112,1.6574585635359116
D649,R522,3,1.81,125,1.6574585635359116
I48,I620,5,3.02,176,1.6556291390728477
R54,R628,48,29,1518,1.6551724137931034
I48,R568,28,16.92,1104,1.6548463356973993
D689,I509,2,1.21,90,1.6528925619834711
D689,I64,2,1.21,97,1.6528925619834711
I10,M549,4,2.42,171,1.6528925619834711
I119,N179,2,1.21,76,1.6528925619834711
I64,M109,2,1.21,69,1.6528925619834711
I99,J189,2,1.21,76,1.6528925619834711
M109,N189,2,1.21,66,1.6528925619834711
G20,I255,3,1.82,112,1.6483516483516483
I959,R001,6,3.64,217,1.6483516483516483
A419,J440,32,19.44,1471,1.6460905349794237
