Var1,Var2,obs,exp,n,pmr
E785,I516,3,4.61,321,0.6507592190889371
I499,R54,3,4.61,244,0.6507592190889371
A419,C259,1,1.54,125,0.6493506493506493
A419,N184,2,3.08,177,0.6493506493506493
E115,I251,4,6.16,391,0.6493506493506493
E46,F919,1,1.54,87,0.6493506493506493
G473,R568,1,1.54,122,0.6493506493506493
I619,J449,1,1.54,107,0.6493506493506493
I214,J189,5,7.71,499,0.648508430609598
A419,I120,16,24.71,1641,0.6475111290975314
E039,G459,2,3.09,175,0.6472491909385114
E145,I120,2,3.09,200,0.6472491909385114
F329,R568,2,3.09,209,0.6472491909385114
J189,N189,18,27.830000000000002,1688,0.6467840459935321
D469,E119,1,1.55,101,0.6451612903225806
F069,J690,1,1.55,99,0.6451612903225806
I495,I739,1,1.55,87,0.6451612903225806
J449,M069,5,7.75,584,0.6451612903225806
J90,J981,1,1.55,92,0.6451612903225806
R91,R99,1,1.55,94,0.6451612903225806
D649,E119,15,23.27,1571,0.6446067898581865
A419,F019,3,4.66,294,0.6437768240343348
J969,R060,3,4.66,266,0.6437768240343348
I340,J449,2,3.11,207,0.6430868167202572
G931,I48,5,7.78,586,0.6426735218508998
N185,R092,3,4.67,345,0.6423982869379015
E149,E871,1,1.56,108,0.641025641025641
F059,J189,1,1.56,94,0.641025641025641
G318,J690,1,1.56,103,0.641025641025641
I272,J439,1,1.56,118,0.641025641025641
I509,J441,1,1.56,95,0.641025641025641
J449,J984,3,4.6899999999999995,342,0.6396588486140725
E119,J449,42,65.68,4766,0.6394640682095005
C439,I10,2,3.13,178,0.6389776357827476
R54,R630,2,3.13,160,0.6389776357827476
I219,R092,3,4.7,325,0.6382978723404255
I499,I509,5,7.85,519,0.6369426751592357
D649,G819,1,1.57,99,0.6369426751592356
E109,J449,1,1.57,127,0.6369426751592356
E46,K746,1,1.57,131,0.6369426751592356
I499,R64,1,1.57,96,0.6369426751592356
I500,K769,1,1.57,118,0.6369426751592356
R092,R99,3,4.72,306,0.6355932203389831
E669,I219,2,3.15,290,0.6349206349206349
J690,N189,8,12.6,744,0.6349206349206349
I120,I500,99,155.98999999999998,9378,0.6346560676966473
J961,N390,3,4.7299999999999995,336,0.6342494714587739
I64,N390,8,12.620000000000001,792,0.6339144215530903
E039,E789,2,3.16,194,0.6329113924050632
E119,E871,1,1.58,109,0.6329113924050632
E142,R99,1,1.58,119,0.6329113924050632
E780,R092,1,1.58,107,0.6329113924050632
F019,I120,5,7.9,458,0.6329113924050632
F019,R568,2,3.16,200,0.6329113924050632
I10,I609,1,1.58,115,0.6329113924050632
J961,R53,3,4.74,330,0.6329113924050632
J984,R092,1,1.58,108,0.6329113924050632
R068,R99,1,1.58,105,0.6329113924050632
G931,I500,5,7.91,591,0.6321112515802781
I38,J960,2,3.17,216,0.6309148264984227
G931,J969,9,14.28,1167,0.6302521008403361
I48,R418,3,4.76,267,0.6302521008403361
C80,R91,2,3.1799999999999997,203,0.628930817610063
K922,R571,1,1.5899999999999999,113,0.628930817610063
D65,N179,1,1.59,132,0.6289308176100629
E149,J80,1,1.59,144,0.6289308176100629
E46,I679,1,1.59,98,0.6289308176100629
I500,R609,1,1.59,82,0.6289308176100629
J449,J841,7,11.13,751,0.6289308176100629
N185,W80,1,1.59,110,0.6289308176100629
J449,J969,65,103.4,7506,0.6286266924564796
J449,R068,7,11.15,818,0.6278026905829596
I10,R688,31,49.4,3220,0.6275303643724697
R13,R636,2,3.19,172,0.6269592476489029
E785,I272,5,7.98,517,0.6265664160401002
J189,J690,4,6.390000000000001,418,0.6259780907668231
D689,E872,1,1.6,127,0.625
E149,E875,1,1.6,120,0.625
F419,I48,4,6.4,371,0.625
G459,N189,1,1.6,90,0.625
I48,R02,2,3.2,175,0.625
J449,J81,3,4.8,318,0.625
L899,R53,3,4.8100000000000005,302,0.6237006237006236
C798,I10,4,6.42,476,0.6230529595015576
E115,E785,2,3.21,196,0.6230529595015576
I10,J47,1,1.6099999999999999,92,0.6211180124223603
E112,I110,1,1.61,106,0.6211180124223602
E46,I739,3,4.83,313,0.6211180124223602
E785,W80,2,3.22,201,0.6211180124223602
I469,N184,3,4.83,276,0.6211180124223602
I639,N179,1,1.61,120,0.6211180124223602
D649,R58,3,4.84,300,0.6198347107438017
E785,I518,2,3.23,221,0.6191950464396285
I251,R092,25,40.4,2636,0.6188118811881188
I10,R628,95,153.55,8873,0.6186909801367633
E785,K219,11,17.78,1110,0.6186726659167604
E785,I461,3,4.85,353,0.6185567010309279
F419,I251,3,4.85,289,0.6185567010309279
I350,R628,3,4.85,266,0.6185567010309279
R13,R579,1,1.6199999999999999,99,0.617283950617284
C189,J690,1,1.62,102,0.6172839506172839
E785,R91,1,1.62,98,0.6172839506172839
F179,I340,3,4.86,337,0.6172839506172839
I120,M069,2,3.24,210,0.6172839506172839
I469,J440,7,11.34,823,0.6172839506172839
K219,R54,1,1.62,86,0.6172839506172839
E785,R64,3,4.87,294,0.6160164271047228
I251,N288,10,16.24,1055,0.6157635467980296
I48,R000,33,53.68,3376,0.6147540983606558
J90,R092,3,4.88,309,0.6147540983606558
F019,I64,8,13.02,789,0.6144393241167435
B182,J960,1,1.63,166,0.6134969325153374
C189,R688,1,1.6300000000000001,106,0.6134969325153374
F03,M869,1,1.6300000000000001,99,0.6134969325153374
J189,J939,1,1.63,105,0.6134969325153374
J189,R064,1,1.6300000000000001,103,0.6134969325153374
J440,N19,1,1.6300000000000001,118,0.6134969325153374
J961,R64,1,1.6300000000000001,111,0.6134969325153374
A419,J189,147,240.03,16465,0.6124234470691163
E149,E46,5,8.17,549,0.6119951040391677
R53,R99,2,3.27,202,0.6116207951070336
E46,R628,14,22.93,1383,0.6105538595726123
G931,W80,1,1.6400000000000001,132,0.6097560975609756
I251,R18,1,1.64,136,0.6097560975609756
C349,J969,8,13.16,1022,0.60790273556231
F419,I469,4,6.58,398,0.60790273556231
E785,I219,12,19.759999999999998,1488,0.6072874493927126
I269,I272,3,4.9399999999999995,359,0.6072874493927126
C349,I469,9,14.82,1134,0.6072874493927125
I214,J690,2,3.3,216,0.6060606060606061
C189,N390,1,1.6500000000000001,101,0.606060606060606
F431,J449,1,1.6500000000000001,140,0.606060606060606
G459,R092,1,1.6500000000000001,97,0.606060606060606
I442,R570,1,1.6500000000000001,96,0.606060606060606
I519,J960,1,1.6500000000000001,113,0.606060606060606
E119,I64,15,24.78,1675,0.6053268765133172
I429,I500,27,44.61,2915,0.605245460659045
I10,J969,115,190.01,12605,0.6052313036155992
E872,N390,3,4.96,331,0.6048387096774194
I802,K922,3,4.96,336,0.6048387096774194
J449,R000,3,4.96,334,0.6048387096774194
I38,N189,2,3.31,205,0.6042296072507553
I251,K219,9,14.9,924,0.6040268456375839
J189,J841,3,4.97,329,0.6036217303822938
J189,R092,17,28.17,1829,0.6034788782392616
E112,J449,8,13.26,948,0.6033182503770739
G473,I48,18,29.86,2222,0.6028131279303416
D500,K922,1,1.66,105,0.6024096385542169
F419,J969,2,3.32,210,0.6024096385542169
G935,I619,1,1.66,119,0.6024096385542169
I509,I639,2,3.32,209,0.6024096385542169
M199,R64,1,1.66,93,0.6024096385542169
A499,N179,2,3.3200000000000003,246,0.6024096385542168
C509,J961,1,1.6600000000000001,121,0.6024096385542168
E119,I99,1,1.6600000000000001,101,0.6024096385542168
E878,I469,2,3.3200000000000003,220,0.6024096385542168
G473,I694,1,1.6600000000000001,119,0.6024096385542168
I120,I739,12,19.93,1258,0.6021073758153538
I250,I469,9,14.959999999999999,981,0.6016042780748664
E875,F179,3,4.99,388,0.6012024048096192
F419,R628,3,4.99,278,0.6012024048096192
I64,J961,3,4.99,339,0.6012024048096192
I214,R688,2,3.33,232,0.6006006006006006
I259,J969,2,3.33,226,0.6006006006006006
J961,W80,2,3.33,220,0.6006006006006006
J690,N19,3,5,325,0.6
A047,I509,1,1.67,104,0.5988023952095809
A419,D689,3,5.01,393,0.5988023952095809
D689,K729,1,1.67,165,0.5988023952095809
E039,J841,1,1.67,104,0.5988023952095809
E119,E785,41,68.47,4767,0.5988023952095809
G934,R579,1,1.67,132,0.5988023952095809
I472,N189,1,1.67,116,0.5988023952095809
I500,I700,1,1.67,94,0.5988023952095809
J159,R13,1,1.67,92,0.5988023952095809
J449,R630,2,3.34,188,0.5988023952095809
J459,N189,1,1.67,100,0.5988023952095809
J690,R470,1,1.67,94,0.5988023952095809
G819,I48,5,8.36,498,0.5980861244019139
A419,G934,12,20.08,1445,0.5976095617529881
D649,J189,17,28.45,1851,0.5975395430579965
D649,I802,5,8.370000000000001,575,0.5973715651135005
F179,N390,14,23.44,1639,0.5972696245733788
I48,W80,9,15.07,895,0.59721300597213
N189,R64,2,3.3499999999999996,188,0.5970149253731344
G473,R092,2,3.35,275,0.5970149253731343
F329,I48,10,16.76,998,0.5966587112171837
E872,R688,4,6.71,511,0.5961251862891207
I509,J690,8,13.42,817,0.5961251862891207
E119,F019,6,10.07,618,0.5958291956305859
A047,N179,2,3.36,237,0.5952380952380952
C449,I500,1,1.6800000000000002,91,0.5952380952380952
E119,I490,1,1.68,133,0.5952380952380952
G629,J969,1,1.68,109,0.5952380952380952
L899,R54,1,1.68,88,0.5952380952380952
I500,R568,7,11.77,790,0.5947323704333051
E46,E86,10,16.82,1029,0.5945303210463734
I10,I255,20,33.660000000000004,2246,0.5941770647653
I10,R522,5,8.42,575,0.5938242280285035
G20,I499,2,3.37,214,0.5934718100890207
I10,K219,31,52.28,3259,0.5929609793420045
A419,J152,1,1.69,127,0.591715976331361
F171,I10,8,13.52,1167,0.591715976331361
G20,J961,1,1.69,114,0.591715976331361
I120,I698,1,1.69,92,0.591715976331361
I519,R688,1,1.69,118,0.591715976331361
I639,R092,1,1.69,114,0.591715976331361
R092,R54,5,8.45,449,0.591715976331361
E039,R688,3,5.07,325,0.5917159763313609
J81,R688,1,1.6900000000000002,107,0.5917159763313609
I469,R53,22,37.22,2277,0.5910800644814616
F329,R628,10,16.919999999999998,987,0.591016548463357
I10,I495,9,15.23,836,0.5909389363099147
E668,J960,3,5.08,484,0.5905511811023622
F179,F419,3,5.08,377,0.5905511811023622
E149,R579,2,3.39,261,0.5899705014749262
I518,J449,3,5.09,349,0.5893909626719057
I709,R688,3,5.09,323,0.5893909626719057
I251,R068,5,8.49,595,0.5889281507656066
A419,D728,1,1.7,96,0.5882352941176471
E119,I472,1,1.7,126,0.5882352941176471
E870,I469,2,3.4,213,0.5882352941176471
I38,I499,1,1.7,110,0.5882352941176471
I639,N189,1,1.7,107,0.5882352941176471
N189,R001,1,1.7,100,0.5882352941176471
E112,I10,26,44.2,3017,0.588235294117647
J440,J969,11,18.75,1371,0.5866666666666667
J449,J961,23,39.21,2826,0.5865850548329508
G309,J961,2,3.41,198,0.5865102639296187
I619,J969,2,3.41,229,0.5865102639296187
K746,N19,2,3.41,301,0.5865102639296187
F179,I269,19,32.42,2628,0.5860579888957433
C61,J960,4,6.83,422,0.5856515373352855
R090,W80,5,8.540000000000001,560,0.585480093676815
E46,I251,11,18.79,1182,0.5854177754124534
A419,C349,4,6.84,552,0.5847953216374269
A419,I694,4,6.84,477,0.5847953216374269
D62,N288,1,1.71,100,0.5847953216374269
E119,M480,1,1.71,110,0.5847953216374269
H409,I500,1,1.71,88,0.5847953216374269
I279,J960,1,1.71,119,0.5847953216374269
I48,R092,28,47.92,2928,0.5843071786310517
F329,J969,4,6.85,449,0.5839416058394161
I500,L031,2,3.4299999999999997,196,0.5830903790087464
C787,I269,2,3.43,302,0.5830903790087463
C798,I251,2,3.43,244,0.5830903790087463
I10,I471,2,3.43,204,0.5830903790087463
R092,R53,6,10.3,610,0.5825242718446602
E112,J189,4,6.87,463,0.5822416302765647
E871,I500,4,6.87,427,0.5822416302765647
E119,E43,1,1.72,116,0.5813953488372093
F179,M139,1,1.72,127,0.5813953488372093
F209,I469,1,1.72,160,0.5813953488372093
G819,I509,1,1.7200000000000002,104,0.5813953488372092
J960,R53,8,13.81,912,0.5792903692976104
I509,I64,10,17.27,1095,0.5790387955993052
L899,N390,4,6.91,461,0.5788712011577424
A419,I64,16,27.67,1975,0.5782435851102277
C159,I469,1,1.73,127,0.5780346820809249
E112,F019,1,1.73,107,0.5780346820809249
E145,I64,1,1.73,118,0.5780346820809249
F319,I469,1,1.73,149,0.5780346820809249
K219,R568,1,1.73,119,0.5780346820809249
R634,R688,1,1.73,95,0.5780346820809249
I500,J849,3,5.19,317,0.5780346820809248
I64,M199,3,5.19,303,0.5780346820809248
K729,N179,3,5.19,487,0.5780346820809248
N390,R628,13,22.51,1300,0.5775211017325632
F179,I490,5,8.67,714,0.5767012687427913
I251,I499,17,29.52,2021,0.575880758807588
I500,R64,6,10.44,593,0.574712643678161
C349,R688,1,1.74,137,0.5747126436781609
F171,R090,1,1.74,152,0.5747126436781609
G309,N40,1,1.74,92,0.5747126436781609
I500,K579,1,1.74,97,0.5747126436781609
I500,L039,2,3.48,202,0.5747126436781609
I509,J849,1,1.74,104,0.5747126436781609
I694,J189,4,6.96,429,0.5747126436781609
R628,R99,5,8.71,522,0.574052812858783
F179,R64,7,12.2,865,0.5737704918032788
E039,F419,3,5.24,310,0.5725190839694656
G20,R13,6,10.48,651,0.5725190839694656
C64,J969,1,1.75,120,0.5714285714285714
E039,E142,2,3.5,237,0.5714285714285714
E669,J961,1,1.75,146,0.5714285714285714
F03,I442,1,1.75,92,0.5714285714285714
F329,I802,1,1.75,113,0.5714285714285714
I269,I350,1,1.75,115,0.5714285714285714
I509,K566,1,1.75,103,0.5714285714285714
A419,K650,2,3.51,281,0.5698005698005698
I10,I279,2,3.5100000000000002,228,0.5698005698005698
A419,R53,10,17.56,1147,0.5694760820045558
J189,J81,5,8.78,540,0.5694760820045558
I251,I509,40,70.25,4573,0.5693950177935944
C61,C859,1,1.76,108,0.5681818181818182
E039,R99,2,3.52,217,0.5681818181818182
E112,R99,1,1.76,119,0.5681818181818182
E785,J90,2,3.52,216,0.5681818181818182
I500,J159,2,3.52,200,0.5681818181818182
N390,R068,2,3.52,230,0.5681818181818182
I10,I472,4,7.06,478,0.56657223796034
I251,I739,30,53,3588,0.5660377358490566
I255,J189,3,5.3,344,0.5660377358490566
C780,E149,3,5.31,450,0.5649717514124294
I219,R568,1,1.77,137,0.5649717514124294
I64,R64,2,3.54,211,0.5649717514124294
I48,R99,11,19.51,1209,0.5638134290107637
I10,I672,10,17.74,1004,0.5636978579481399
E889,R628,2,3.55,209,0.5633802816901409
F179,R001,2,3.55,230,0.5633802816901409
E039,J969,10,17.759999999999998,1134,0.5630630630630631
J90,J960,15,26.689999999999998,1685,0.5620082427875609
C61,N179,2,3.56,215,0.5617977528089888
G409,I469,1,1.78,136,0.5617977528089888
G409,I48,1,1.78,112,0.5617977528089888
G473,K219,1,1.78,125,0.5617977528089888
I272,J984,1,1.78,124,0.5617977528089888
K566,K922,1,1.78,107,0.5617977528089888
N185,R068,1,1.78,133,0.5617977528089888
E785,R628,14,24.93,1445,0.5615724027276374
I500,M199,12,21.37,1206,0.5615348619560131
J969,R688,18,32.06,2318,0.561447286338116
F019,I694,5,8.91,533,0.5611672278338945
G934,I469,10,17.83,1262,0.5608524957936063
K219,N40,3,5.35,307,0.5607476635514019
N390,R092,5,8.92,540,0.5605381165919282
E149,E789,2,3.5700000000000003,233,0.5602240896358543
F179,I639,5,8.93,673,0.5599104143337066
E46,N390,6,10.72,664,0.5597014925373134
C509,K219,1,1.79,110,0.5586592178770949
C795,R53,1,1.79,126,0.5586592178770949
D649,R579,2,3.58,267,0.5586592178770949
G309,R090,3,5.37,313,0.5586592178770949
G819,I120,1,1.79,111,0.5586592178770949
I119,R092,1,1.79,119,0.5586592178770949
I709,J690,2,3.58,224,0.5586592178770949
E86,I10,13,23.29,1402,0.55817947617003
I269,N179,3,5.38,408,0.5576208178438662
I10,L899,9,16.15,1026,0.5572755417956656
E86,N390,6,10.77,630,0.5571030640668524
R092,W80,4,7.18,464,0.5571030640668524
I10,R02,2,3.5900000000000003,197,0.5571030640668523
C61,I509,3,5.39,309,0.5565862708719852
E872,J189,4,7.19,505,0.5563282336578581
F019,I48,15,26.97,1510,0.5561735261401558
I48,J969,81,145.74,9350,0.5557842733635241
E149,R001,1,1.8,108,0.5555555555555556
F329,R090,1,1.8,115,0.5555555555555556
I219,I516,1,1.8,130,0.5555555555555556
J449,M109,1,1.8,104,0.5555555555555556
R092,R579,1,1.8,143,0.5555555555555556
G934,R628,3,5.41,343,0.5545286506469501
E142,G473,2,3.61,289,0.554016620498615
E785,I672,2,3.6100000000000003,207,0.5540166204986149
A419,I340,1,1.81,119,0.5524861878453039
A498,N390,1,1.81,96,0.5524861878453039
C61,R99,1,1.81,113,0.5524861878453039
D619,I48,2,3.62,253,0.5524861878453039
E669,I709,1,1.81,150,0.5524861878453039
J90,K922,1,1.81,115,0.5524861878453039
J960,R64,2,3.62,245,0.5524861878453039
K219,K922,1,1.81,111,0.5524861878453039
E668,F179,5,9.06,877,0.5518763796909492
E119,K219,4,7.25,478,0.5517241379310345
I64,J690,12,21.75,1385,0.5517241379310345
K922,R628,4,7.26,430,0.5509641873278237
F179,I719,1,1.82,118,0.5494505494505494
F329,I269,1,1.82,131,0.5494505494505494
I219,N19,2,3.64,249,0.5494505494505494
K729,R092,1,1.82,172,0.5494505494505494
M069,R688,1,1.82,137,0.5494505494505494
E039,F019,3,5.47,307,0.5484460694698355
C787,N179,2,3.65,301,0.547945205479452
G309,I509,7,12.78,706,0.5477308294209703
I214,I469,7,12.78,878,0.5477308294209703
A419,C509,3,5.48,429,0.5474452554744526
I802,R628,3,5.48,331,0.5474452554744526
E86,R688,3,5.49,334,0.5464480874316939
E86,W80,1,1.83,110,0.5464480874316939
F069,I500,1,1.83,109,0.5464480874316939
F419,R53,1,1.83,109,0.5464480874316939
I255,I48,18,32.96,2088,0.5461165048543689
A419,I255,5,9.16,661,0.5458515283842794
J690,K922,4,7.33,480,0.5457025920873124
G931,I458,2,3.67,317,0.5449591280653951
E889,J969,5,9.18,593,0.5446623093681917
F329,I251,8,14.69,905,0.5445881552076243
I472,I500,6,11.02,749,0.544464609800363
E039,M069,2,3.68,238,0.5434782608695652
E785,I500,57,104.88,6543,0.5434782608695652
E875,R570,1,1.84,136,0.5434782608695652
I469,R636,3,5.5200000000000005,301,0.5434782608695652
I64,R630,1,1.84,104,0.5434782608695652
J459,K219,1,1.84,122,0.5434782608695652
E149,J969,28,51.57,3748,0.5429513282916424
I214,I500,7,12.9,844,0.5426356589147286
I739,N185,3,5.53,455,0.5424954792043399
J189,J969,89,164.57999999999998,11013,0.5407704459837162
I10,I619,7,12.95,846,0.5405405405405406
D469,N179,1,1.85,120,0.5405405405405405
I251,R636,1,1.85,100,0.5405405405405405
I500,R470,1,1.85,100,0.5405405405405405
N288,R688,4,7.4,524,0.5405405405405405
E86,R636,4,7.42,400,0.5390835579514824
D649,I429,3,5.57,376,0.5385996409335727
F329,J189,3,5.57,331,0.5385996409335727
J969,R064,9,16.72,1114,0.5382775119617226
I10,R064,1,1.8599999999999999,125,0.5376344086021506
C189,R13,1,1.86,105,0.5376344086021505
D649,I519,1,1.86,113,0.5376344086021505
E785,I517,1,1.86,122,0.5376344086021505
F03,K559,1,1.86,107,0.5376344086021505
F179,R522,2,3.72,324,0.5376344086021505
I272,J849,1,1.86,131,0.5376344086021505
I458,R090,1,1.86,144,0.5376344086021505
I500,J439,6,11.16,745,0.5376344086021505
E780,I120,3,5.59,349,0.5366726296958855
E039,I739,4,7.46,446,0.5361930294906166
C787,I802,1,1.87,163,0.53475935828877
C793,I269,1,1.87,179,0.53475935828877
E889,I48,4,7.48,442,0.53475935828877
I10,X599,1,1.87,119,0.53475935828877
K922,R000,1,1.87,121,0.53475935828877
D696,I509,1,1.88,127,0.5319148936170213
E119,I698,1,1.88,107,0.5319148936170213
E871,J960,3,5.640000000000001,389,0.5319148936170213
I10,J159,2,3.76,213,0.5319148936170213
I120,I359,1,1.8800000000000001,115,0.5319148936170213
I48,R18,1,1.8800000000000001,153,0.5319148936170213
I499,R568,1,1.8800000000000001,137,0.5319148936170213
I694,R090,1,1.8800000000000001,123,0.5319148936170213
I802,R568,1,1.8800000000000001,141,0.5319148936170213
C61,I500,12,22.6,1295,0.5309734513274336
I10,N40,15,28.32,1627,0.5296610169491526
I10,R64,12,22.66,1329,0.529567519858782
F179,G318,1,1.89,128,0.5291005291005292
E872,F03,2,3.7800000000000002,214,0.5291005291005291
I48,I99,3,5.67,343,0.5291005291005291
A419,M199,2,3.79,230,0.5277044854881267
I10,I499,33,62.66,4243,0.5266517714650495
A419,C795,2,3.8000000000000003,302,0.5263157894736842
E144,I10,1,1.9,131,0.5263157894736842
G459,N390,1,1.9,107,0.5263157894736842
G473,R688,1,1.9000000000000001,151,0.5263157894736842
I340,I500,7,13.31,815,0.5259203606311044
F319,I10,2,3.81,311,0.5249343832020997
A419,E785,12,22.9,1533,0.5240174672489083
E46,I48,14,26.72,1621,0.5239520958083833
C509,F329,1,1.91,125,0.5235602094240838
C80,I500,2,3.8200000000000003,241,0.5235602094240838
D696,J189,2,3.8200000000000003,293,0.5235602094240838
E46,K566,1,1.9100000000000001,119,0.5235602094240838
F179,I442,1,1.9100000000000001,109,0.5235602094240838
G20,N40,1,1.91,111,0.5235602094240838
I251,J81,4,7.64,491,0.5235602094240838
I471,I500,1,1.91,110,0.5235602094240838
I64,R090,3,5.73,392,0.5235602094240838
I694,K922,1,1.91,120,0.5235602094240838
F329,F419,8,15.290000000000001,949,0.5232177894048398
I10,J90,10,19.14,1163,0.522466039707419
A419,J159,4,7.66,457,0.5221932114882506
I214,N390,2,3.83,248,0.5221932114882506
N19,R53,2,3.83,244,0.5221932114882506
E86,R628,11,21.08,1219,0.5218216318785579
I509,N185,5,9.59,723,0.5213764337851929
E86,I48,7,13.43,775,0.5212211466865228
D509,I500,1,1.92,115,0.5208333333333334
D649,I259,1,1.92,113,0.5208333333333334
F069,F179,1,1.92,133,0.5208333333333334
I458,J189,1,1.92,145,0.5208333333333334
F329,G473,1,1.9200000000000002,145,0.5208333333333333
M069,N390,1,1.9200000000000002,131,0.5208333333333333
E46,N189,5,9.61,582,0.5202913631633715
A419,J449,26,50,3699,0.52
G473,J449,11,21.16,1698,0.5198487712665406
I500,J189,65,125.08,7530,0.5196674128557723
I214,I509,3,5.78,371,0.5190311418685121
F329,I10,29,55.96,3502,0.5182273052180129
C859,F179,2,3.86,276,0.5181347150259068
E149,R91,1,1.93,123,0.5181347150259068
E86,R99,1,1.93,120,0.5181347150259068
G20,K219,1,1.93,118,0.5181347150259068
I350,K922,2,3.86,227,0.5181347150259068
A419,N183,3,5.79,349,0.5181347150259067
G309,I272,1,1.9300000000000002,109,0.5181347150259067
J969,N009,1,1.9300000000000002,120,0.5181347150259067
N189,W80,2,3.8600000000000003,233,0.5181347150259067
E039,K219,7,13.52,825,0.5177514792899408
F919,R628,2,3.87,216,0.5167958656330749
E039,J690,4,7.75,465,0.5161290322580645
E46,R579,1,1.94,134,0.5154639175257733
E86,R092,2,3.88,237,0.5154639175257733
F03,F171,1,1.94,136,0.5154639175257733
I120,L899,1,1.94,127,0.5154639175257733
I714,J969,1,1.94,116,0.5154639175257733
I509,R628,9,17.5,994,0.5142857142857142
I120,R628,11,21.4,1213,0.5140186915887851
I64,R628,13,25.3,1526,0.5138339920948617
F03,N179,16,31.2,1813,0.5128205128205129
I272,I709,1,1.95,127,0.5128205128205129
I499,I517,1,1.95,160,0.5128205128205129
I516,R688,1,1.95,129,0.5128205128205129
I64,J81,1,1.95,125,0.5128205128205129
G819,I64,7,13.65,861,0.5128205128205128
E86,R630,5,9.76,539,0.5122950819672131
I458,I469,8,15.62,1228,0.5121638924455826
A419,I48,70,136.68,8963,0.5121451565700907
E86,N179,13,25.44,1509,0.511006289308176
A047,I251,2,3.92,256,0.5102040816326531
F179,J981,1,1.96,131,0.5102040816326531
F179,K746,7,13.72,1250,0.5102040816326531
G931,I120,1,1.96,154,0.5102040816326531
I458,I509,1,1.96,151,0.5102040816326531
J448,J969,1,1.96,133,0.5102040816326531
J961,N19,1,1.96,137,0.5102040816326531
E86,E875,1,1.9600000000000002,116,0.510204081632653
G20,N179,2,3.93,253,0.5089058524173028
K219,R628,4,7.86,460,0.5089058524173028
N179,W80,2,3.9299999999999997,256,0.5089058524173028
E119,I10,145,285.14,19341,0.5085221294802553
I48,K566,4,7.87,460,0.5082592121982211
I255,J969,5,9.84,660,0.508130081300813
D649,G629,1,1.97,128,0.5076142131979695
E119,I255,5,9.85,687,0.5076142131979695
E785,I714,2,3.94,232,0.5076142131979695
G936,I469,1,1.97,160,0.5076142131979695
J690,R630,1,1.97,109,0.5076142131979695
J90,R99,1,1.97,121,0.5076142131979695
A419,I959,10,19.73,1393,0.5068423720223011
I219,J960,8,15.8,1137,0.5063291139240506
I509,R068,5,9.88,658,0.5060728744939271
E668,J969,3,5.93,550,0.5059021922428331
I251,R090,12,23.72,1622,0.5059021922428331
I10,R630,7,13.84,765,0.5057803468208093
E039,R522,1,1.98,127,0.5050505050505051
E112,R53,1,1.98,123,0.5050505050505051
E46,J440,1,1.98,149,0.5050505050505051
E870,J690,1,1.98,119,0.5050505050505051
R54,W19,1,1.98,99,0.5050505050505051
R630,R688,1,1.98,112,0.5050505050505051
I251,I461,3,5.94,437,0.505050505050505
J90,N179,3,5.94,380,0.505050505050505
J969,M069,3,5.94,441,0.505050505050505
J449,N179,13,25.79,1830,0.5040713454827452
G934,N19,2,3.97,283,0.5037783375314862
N40,R628,2,3.9699999999999998,215,0.5037783375314862
I469,R000,6,11.93,774,0.5029337803855826
E875,N288,3,5.97,392,0.5025125628140704
I251,L899,3,5.97,392,0.5025125628140704
E872,R090,2,3.98,276,0.5025125628140703
I64,K922,4,7.96,524,0.5025125628140703
J439,N189,1,1.99,127,0.5025125628140703
N288,W80,1,1.99,126,0.5025125628140703
G934,R688,2,3.99,291,0.5012531328320802
I255,I258,1,2,134,0.5
J969,R001,2,4,244,0.5
R090,R54,2,4,211,0.5
I429,N179,3,6.01,435,0.49916805324459235
F019,R688,2,4.01,233,0.49875311720698257
F179,I258,3,6.02,445,0.49833887043189373
E112,I500,19,38.160000000000004,2572,0.49790356394129975
A099,A419,1,2.01,141,0.49751243781094534
E789,I500,3,6.03,369,0.49751243781094523
E871,R628,1,2.0100000000000002,122,0.49751243781094523
I10,R579,5,10.05,708,0.49751243781094523
I739,M199,2,4.0200000000000005,227,0.49751243781094523
F179,I694,10,20.11,1433,0.4972650422675286
J969,W80,17,34.22,2174,0.4967855055523086
C189,C61,3,6.04,357,0.4966887417218543
E46,K922,2,4.03,270,0.4962779156327543
E115,I10,5,10.09,618,0.49554013875123887
E149,R090,5,10.09,744,0.49554013875123887
C795,E149,2,4.04,311,0.49504950495049505
D649,K729,1,2.02,187,0.49504950495049505
J189,W80,8,16.19,1009,0.4941321803582458
I48,I509,69,139.68,8492,0.4939862542955326
J440,R688,1,2.03,152,0.4926108374384237
J90,N19,1,2.03,127,0.4926108374384237
F171,I739,1,2.0300000000000002,168,0.4926108374384236
R001,R570,1,2.0300000000000002,127,0.4926108374384236
J449,N183,4,8.13,497,0.49200492004920043
I359,I469,3,6.1,404,0.49180327868852464
I272,I500,34,69.15,4478,0.4916847433116413
A419,I518,1,2.04,143,0.49019607843137253
A490,N179,1,2.04,152,0.49019607843137253
E119,I258,1,2.04,146,0.49019607843137253
E785,I472,1,2.04,140,0.49019607843137253
F179,T828,1,2.04,144,0.49019607843137253
I219,I519,1,2.04,157,0.49019607843137253
I255,I38,1,2.04,126,0.49019607843137253
J969,R568,6,12.24,905,0.49019607843137253
A499,J969,2,4.09,292,0.48899755501222497
G309,R99,2,4.09,232,0.48899755501222497
